Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,74.58620830923397,77.53154626431963,5.071535883970865,1.0000000000000009e-2,1.1904809037467862e-3,"cx0_1: 1.772e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q1,52.59382476679505,57.402601938109726,5.0202519428399714,7.810000000000006e-2,3.320616798885803e-4,"cx1_0: 1.772e-2, cx1_2: 1.177e-2, cx1_4: 1.230e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q2,99.77217294617152,52.77024871746627,4.816904909248378,2.2599999999999953e-2,2.8006169062371237e-4,"cx2_1: 1.177e-2, cx2_3: 1.024e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q3,85.43307705679835,93.98274890715959,4.894655859654416,1.319999999999999e-2,3.221421325550483e-4,"cx3_2: 1.024e-2, cx3_5: 7.724e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q4,76.55916806981166,62.342342227726,5.085076981124147,1.6699999999999937e-2,4.455155191134271e-4,"cx4_1: 1.230e-2, cx4_7: 1.664e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q5,81.68994247283901,38.60647867933296,4.7994214611517565,6.709999999999994e-2,3.1542901682041e-3,"cx5_3: 7.724e-2, cx5_8: 6.491e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q6,53.20559130947321,68.72598612033127,5.201771922588431,5.719999999999992e-2,8.622808188087465e-4,"cx6_7: 1.043e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q7,97.90403522235854,87.33646740632838,5.142319321639426,1.5600000000000058e-2,3.7179013221422334e-4,"cx7_4: 1.664e-2, cx7_6: 1.043e-2, cx7_10: 1.349e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q8,113.38989101948005,90.50714284436737,5.068722088620482,5.14e-2,5.38678985765277e-4,"cx8_5: 6.491e-2, cx8_9: 1.649e-2, cx8_11: 1.231e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q9,93.22549414305881,107.132400984708,5.169206898543393,2.42e-2,6.132130126950313e-4,"cx9_8: 1.649e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q10,56.94800640847149,148.546917127929,4.919586058581997,3.025e-1,5.314318787732797e-4,"cx10_7: 1.349e-2, cx10_12: 1.595e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q11,38.554816909983884,70.92703269335156,4.959750792453742,2.6599999999999957e-2,5.819306255380615e-4,"cx11_8: 1.231e-2, cx11_14: 1.709e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q12,102.3348535248592,176.2204589921491,5.042603771938932,3.3420000000000005e-1,3.9470710484547784e-4,"cx12_10: 1.595e-2, cx12_13: 1.917e-2, cx12_15: 1.279e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q13,75.74363576958852,73.71237408389301,5.113631651263114,3.428e-1,3.889987887885751e-4,"cx13_12: 1.917e-2, cx13_14: 1.307e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q14,46.74374028183955,96.54472825503018,4.898609919042445,1.9400000000000084e-2,4.567327182707135e-4,"cx14_11: 1.709e-2, cx14_13: 1.307e-2, cx14_16: 1.060e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q15,63.8008196836221,51.184605187144946,4.850052021455466,3.79e-1,6.717125824479684e-4,"cx15_12: 1.279e-2, cx15_18: 1.642e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q16,90.66856399700006,46.65102401070058,5.0202170705657245,1.7200000000000104e-2,2.731838453547423e-4,"cx16_14: 1.060e-2, cx16_19: 8.798e-3",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q17,101.93619117615297,81.894881466711,5.05040508362099,2.3399999999999976e-2,1.0348726845887605e-3,"cx17_18: 1.470e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q18,103.53458137357308,75.54599121313322,4.937914394102409,1.7100000000000004e-2,5.001785763115939e-4,"cx18_15: 1.642e-2, cx18_17: 1.470e-2, cx18_21: 2.417e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q19,65.82512476604849,80.65833256166646,4.76331157227659,6.599999999999939e-3,2.3262606720006533e-4,"cx19_16: 8.798e-3, cx19_20: 1.125e-2, cx19_22: 9.779e-3",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q20,84.9548734237282,144.52824567823978,5.038910438958062,3.93e-2,4.4873640116053354e-4,"cx20_19: 1.125e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q21,72.84498522589874,40.059797067482265,4.830973439865164,5.359999999999998e-2,5.29708811543933e-4,"cx21_18: 2.417e-2, cx21_23: 2.667e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q22,117.76626324605445,27.301798369655742,4.9898535525405,1.8899999999999917e-2,3.9943222933963725e-4,"cx22_19: 9.779e-3, cx22_25: 1.011e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q23,74.93451084396163,76.78020809570239,5.125854445768612,1.7200000000000104e-2,2.842877330423464e-4,"cx23_21: 2.667e-2, cx23_24: 2.149e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q24,91.41128887304133,82.02543609463726,4.97874279912742,1.1900000000000022e-2,6.108052346730529e-4,"cx24_23: 2.149e-2, cx24_25: 1.311e-2",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q25,111.97456515502824,35.16059169699731,4.852389877031338,4.699999999999993e-2,2.2940136488070042e-4,"cx25_22: 1.011e-2, cx25_24: 1.311e-2, cx25_26: 9.534e-3",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
Q26,54.47672899667798,118.1199773514633,4.958162830446988,2.089999999999992e-2,3.6082639933830994e-4,"cx26_25: 9.534e-3",Sun Oct 25 2020 07:43:20 GMT-0500 (Central Daylight Time)
